lat,lng
57.9734237,56.2606287
57.9867805,56.2463825
57.9867805,56.2463825
58.0057062,56.1175266
57.9679303,56.271902
58.0040479,55.9402031
58.0125523,56.2521274
57.9757573,56.2059545
57.9714811,56.2315024
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9858477,56.2172903
57.2824017,54.3217643
57.9867805,56.2463825
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9751737,56.1669019
57.9880044,56.2247282
57.9757573,56.2059545
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.1094702,56.3128367
58.0272771,56.1930648
58.0113698,56.2543635
58.0470057,55.1717532
57.9757573,56.2059545
58.0493088,56.1170125
57.9735489,56.1920074
58.0305766,56.3063196
58.049706,56.0927347
58.0470057,55.1717532
57.9714811,56.2315024
,
58.0470057,55.1717532
58.0057062,56.1175266
58.0125523,56.2521274
58.0694669,56.3541384
,
58.0470057,55.1717532
,
57.9702632,56.1710739
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0125523,56.2521274
58.0272771,56.1930648
57.9992378,56.1893299
58.0040479,55.9402031
58.1311938,56.3951235
57.9757573,56.2059545
57.9757573,56.2059545
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
57.9867805,56.2463825
58.0470057,55.1717532
57.9958541,56.2411032
58.0225298,56.3326093
57.9757573,56.2059545
57.9714811,56.2315024
58.0113698,56.2543635
57.9714811,56.2315024
58.0040479,55.9402031
57.9771413,56.3076713
57.9867805,56.2463825
57.9858477,56.2172903
57.9867805,56.2463825
57.9714811,56.2315024
57.2824017,54.3217643
57.9751737,56.1669019
57.9923862,56.2573563
57.9757573,56.2059545
57.9714811,56.2315024
57.9880044,56.2247282
58.0127922,56.2589786
57.9714811,56.2315024
57.9624629,56.1594677
58.0470057,55.1717532
58.0470057,55.1717532
57.9910394,56.2584568
58.1094702,56.3128367
58.0272771,56.1930648
58.0113698,56.2543635
57.9757573,56.2059545
58.0493088,56.1170125
58.0305766,56.3063196
58.049706,56.0927347
57.9735489,56.1920074
58.0470057,55.1717532
57.9714811,56.2315024
,
58.0057062,56.1175266
58.0694669,56.3541384
58.0125523,56.2521274
58.0470057,55.1717532
,
,
57.9702632,56.1710739
57.9690583,56.2707229
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
58.0125523,56.2521274
57.9992378,56.1893299
,
57.9757573,56.2059545
57.9757573,56.2059545
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
58.0040479,55.9402031
57.9679303,56.271902
57.9690583,56.2707229
58.0455873,56.2740486
57.9867805,56.2463825
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9714811,56.2315024
58.0040479,55.9402031
57.9771413,56.3076713
57.9734237,56.2606287
57.9858477,56.2172903
57.2824017,54.3217643
57.9867805,56.2463825
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9880044,56.2247282
57.9751737,56.1669019
57.9757573,56.2059545
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.1094702,56.3128367
58.0113698,56.2543635
58.0272771,56.1930648
57.9757573,56.2059545
58.0493088,56.1170125
58.0470057,55.1717532
57.9735489,56.1920074
58.0305766,56.3063196
58.049706,56.0927347
58.0470057,55.1717532
57.9714811,56.2315024
58.0057062,56.1175266
,
58.0125523,56.2521274
58.0694669,56.3541384
,
58.0470057,55.1717532
,
57.9702632,56.1710739
57.9714811,56.2315024
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
58.0125523,56.2521274
57.9992378,56.1893299
,
57.9958541,56.2411032
57.9690583,56.2707229
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
58.0040479,55.9402031
58.0113698,56.2543635
58.049706,56.0927347
57.9679303,56.271902
57.9867805,56.2463825
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9714811,56.2315024
58.0040479,55.9402031
57.9771413,56.3076713
57.9858477,56.2172903
57.9867805,56.2463825
57.2824017,54.3217643
57.9734237,56.2606287
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9880044,56.2247282
57.9751737,56.1669019
57.9757573,56.2059545
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.1094702,56.3128367
58.0113698,56.2543635
58.0272771,56.1930648
57.9757573,56.2059545
58.0493088,56.1170125
58.0470057,55.1717532
57.9735489,56.1920074
58.0305766,56.3063196
58.049706,56.0927347
58.0470057,55.1717532
57.9714811,56.2315024
58.0057062,56.1175266
,
58.0125523,56.2521274
58.0694669,56.3541384
,
58.0470057,55.1717532
,
57.9702632,56.1710739
57.9714811,56.2315024
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
58.0125523,56.2521274
57.9992378,56.1893299
,
57.9958541,56.2411032
57.9690583,56.2707229
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
58.0040479,55.9402031
58.0113698,56.2543635
58.049706,56.0927347
57.9679303,56.271902
57.9867805,56.2463825
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9714811,56.2315024
58.0040479,55.9402031
57.9771413,56.3076713
57.9858477,56.2172903
57.9867805,56.2463825
57.2824017,54.3217643
57.9734237,56.2606287
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9880044,56.2247282
57.9751737,56.1669019
57.9757573,56.2059545
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.1094702,56.3128367
58.0113698,56.2543635
58.0272771,56.1930648
57.9757573,56.2059545
58.0493088,56.1170125
58.0470057,55.1717532
57.9735489,56.1920074
58.0305766,56.3063196
58.049706,56.0927347
58.0470057,55.1717532
57.9714811,56.2315024
58.0057062,56.1175266
,
58.0125523,56.2521274
58.0694669,56.3541384
,
58.0470057,55.1717532
,
57.9702632,56.1710739
57.9714811,56.2315024
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
58.0125523,56.2521274
57.9992378,56.1893299
,
57.9958541,56.2411032
57.9690583,56.2707229
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
58.0040479,55.9402031
58.0113698,56.2543635
58.049706,56.0927347
57.9679303,56.271902
57.9867805,56.2463825
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9714811,56.2315024
58.0040479,55.9402031
57.9771413,56.3076713
57.9858477,56.2172903
57.9867805,56.2463825
57.2824017,54.3217643
57.9734237,56.2606287
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9880044,56.2247282
57.9751737,56.1669019
57.9757573,56.2059545
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.1094702,56.3128367
58.0113698,56.2543635
58.0272771,56.1930648
57.9757573,56.2059545
58.0493088,56.1170125
58.0470057,55.1717532
57.9735489,56.1920074
58.0305766,56.3063196
58.049706,56.0927347
58.0470057,55.1717532
57.9714811,56.2315024
58.0057062,56.1175266
,
58.0125523,56.2521274
58.0694669,56.3541384
,
58.0470057,55.1717532
,
57.9702632,56.1710739
57.9714811,56.2315024
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
58.0125523,56.2521274
57.9992378,56.1893299
57.9757573,56.2059545
57.9757573,56.2059545
58.0113698,56.2543635
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
57.9867805,56.2463825
57.9714811,56.2315024
57.9679303,56.271902
58.0127922,56.2589786
58.0040479,55.9402031
57.9757573,56.2059545
57.9714811,56.2315024
58.0113698,56.2543635
57.9714811,56.2315024
58.0040479,55.9402031
57.9771413,56.3076713
57.9734237,56.2606287
57.2824017,54.3217643
57.9858477,56.2172903
57.9867805,56.2463825
57.9714811,56.2315024
57.9923862,56.2573563
57.9867805,56.2463825
57.9880044,56.2247282
57.9757573,56.2059545
57.9751737,56.1669019
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.0470057,55.1717532
57.9757573,56.2059545
58.1094702,56.3128367
58.0272771,56.1930648
57.9735489,56.1920074
58.0493088,56.1170125
58.049706,56.0927347
58.0305766,56.3063196
58.0470057,55.1717532
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
,
58.0125523,56.2521274
,
57.9702632,56.1710739
58.0694669,56.3541384
,
58.0470057,55.1717532
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
58.009176,56.252602
,
57.9757573,56.2059545
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
58.0225298,56.3326093
58.0127922,56.2589786
57.9714811,56.2315024
58.0040479,55.9402031
57.9757573,56.2059545
57.9714811,56.2315024
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9858477,56.2172903
57.9714811,56.2315024
57.9867805,56.2463825
57.2824017,54.3217643
57.9867805,56.2463825
57.9923862,56.2573563
57.9880044,56.2247282
57.9751737,56.1669019
57.9757573,56.2059545
57.9714811,56.2315024
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.1094702,56.3128367
58.0272771,56.1930648
57.9757573,56.2059545
57.9734237,56.2606287
57.9735489,56.1920074
58.049706,56.0927347
58.0493088,56.1170125
58.0305766,56.3063196
58.0470057,55.1717532
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
,
58.0125523,56.2521274
57.9702632,56.1710739
58.0694669,56.3541384
,
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
57.2824017,54.3217643
58.0272771,56.1930648
57.9992378,56.1893299
57.9757573,56.2059545
58.049706,56.0927347
58.0113698,56.2543635
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
57.9867805,56.2463825
58.0225298,56.3326093
,
58.1153822,56.3096499
58.0125523,56.2521274
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.2824017,54.3217643
57.9858477,56.2172903
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9867805,56.2463825
57.9880044,56.2247282
57.9757573,56.2059545
57.9714811,56.2315024
57.9751737,56.1669019
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.1094702,56.3128367
57.9757573,56.2059545
58.0272771,56.1930648
57.9735489,56.1920074
58.0493088,56.1170125
58.049706,56.0927347
57.9734237,56.2606287
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9702632,56.1710739
58.0125523,56.2521274
,
58.0694669,56.3541384
57.9714811,56.2315024
58.0470057,55.1717532
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
57.9757573,56.2059545
58.0225298,56.3326093
58.0127922,56.2589786
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
57.9690583,56.2707229
57.9714811,56.2315024
58.0127922,56.2589786
58.0040479,55.9402031
57.9757573,56.2059545
57.9714811,56.2315024
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9714811,56.2315024
57.9858477,56.2172903
57.9867805,56.2463825
57.2824017,54.3217643
57.9923862,56.2573563
57.9867805,56.2463825
57.9880044,56.2247282
57.9751737,56.1669019
57.9714811,56.2315024
57.9757573,56.2059545
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.1094702,56.3128367
58.0272771,56.1930648
57.9757573,56.2059545
57.9735489,56.1920074
58.0493088,56.1170125
58.049706,56.0927347
57.9734237,56.2606287
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9702632,56.1710739
58.0125523,56.2521274
,
58.0694669,56.3541384
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9679303,56.271902
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
57.9757573,56.2059545
58.0225298,56.3326093
58.0127922,56.2589786
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
57.9690583,56.2707229
57.9714811,56.2315024
58.0127922,56.2589786
58.0040479,55.9402031
57.9757573,56.2059545
57.9714811,56.2315024
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9714811,56.2315024
57.9858477,56.2172903
57.9867805,56.2463825
57.2824017,54.3217643
57.9923862,56.2573563
57.9867805,56.2463825
57.9880044,56.2247282
57.9751737,56.1669019
57.9714811,56.2315024
57.9757573,56.2059545
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.1094702,56.3128367
58.0272771,56.1930648
57.9757573,56.2059545
57.9735489,56.1920074
58.0493088,56.1170125
58.049706,56.0927347
57.9734237,56.2606287
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9702632,56.1710739
58.0125523,56.2521274
,
58.0694669,56.3541384
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9679303,56.271902
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
57.2824017,54.3217643
58.0272771,56.1930648
57.9992378,56.1893299
57.9757573,56.2059545
58.049706,56.0927347
58.0113698,56.2543635
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
57.9867805,56.2463825
58.0225298,56.3326093
,
58.1153822,56.3096499
58.0125523,56.2521274
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.2824017,54.3217643
57.9858477,56.2172903
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9867805,56.2463825
57.9880044,56.2247282
57.9757573,56.2059545
57.9714811,56.2315024
57.9751737,56.1669019
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.1094702,56.3128367
57.9757573,56.2059545
58.0272771,56.1930648
57.9735489,56.1920074
58.0493088,56.1170125
58.049706,56.0927347
57.9734237,56.2606287
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9702632,56.1710739
58.0125523,56.2521274
,
58.0694669,56.3541384
57.9714811,56.2315024
58.0470057,55.1717532
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
57.2824017,54.3217643
58.0272771,56.1930648
57.9992378,56.1893299
57.9757573,56.2059545
58.049706,56.0927347
58.0113698,56.2543635
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
58.0125523,56.2521274
57.9867805,56.2463825
58.0225298,56.3326093
,
58.1153822,56.3096499
58.0125523,56.2521274
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.2824017,54.3217643
57.9858477,56.2172903
57.9714811,56.2315024
57.9867805,56.2463825
57.9923862,56.2573563
57.9867805,56.2463825
57.9880044,56.2247282
57.9757573,56.2059545
57.9714811,56.2315024
57.9751737,56.1669019
57.9714811,56.2315024
58.0127922,56.2589786
57.9624629,56.1594677
58.0113698,56.2543635
58.1094702,56.3128367
57.9757573,56.2059545
58.0272771,56.1930648
57.9735489,56.1920074
58.0493088,56.1170125
58.049706,56.0927347
57.9734237,56.2606287
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
58.0470057,55.1717532
,
57.9702632,56.1710739
58.0125523,56.2521274
,
58.0694669,56.3541384
57.9714811,56.2315024
58.0470057,55.1717532
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
58.0272771,56.1930648
58.1153822,56.3096499
57.9757573,56.2059545
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
58.0057062,56.1175266
57.9923862,56.2573563
57.9757573,56.2059545
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9714811,56.2315024
57.2824017,54.3217643
57.9867805,56.2463825
57.9923862,56.2573563
57.9858477,56.2172903
57.9880044,56.2247282
57.9867805,56.2463825
57.9714811,56.2315024
57.9751737,56.1669019
57.9757573,56.2059545
57.9624629,56.1594677
58.0127922,56.2589786
58.0113698,56.2543635
57.9757573,56.2059545
58.1094702,56.3128367
58.0272771,56.1930648
57.9735489,56.1920074
58.049706,56.0927347
58.0493088,56.1170125
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
,
57.9702632,56.1710739
58.0470057,55.1717532
57.9714811,56.2315024
58.0125523,56.2521274
58.0694669,56.3541384
,
58.0470057,55.1717532
57.9679303,56.271902
58.1094702,56.3128367
57.9867805,56.2463825
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
58.0127922,56.2589786
58.009176,56.252602
,
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
58.0057062,56.1175266
57.9757573,56.2059545
57.9714811,56.2315024
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9714811,56.2315024
57.2824017,54.3217643
57.9867805,56.2463825
57.9923862,56.2573563
57.9858477,56.2172903
57.9880044,56.2247282
57.9867805,56.2463825
57.9714811,56.2315024
57.9757573,56.2059545
57.9751737,56.1669019
57.9624629,56.1594677
58.0127922,56.2589786
58.0113698,56.2543635
57.9757573,56.2059545
58.1094702,56.3128367
57.9735489,56.1920074
58.0272771,56.1930648
58.049706,56.0927347
58.0493088,56.1170125
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
,
57.9702632,56.1710739
58.0125523,56.2521274
57.9714811,56.2315024
58.0694669,56.3541384
,
58.0470057,55.1717532
57.9867805,56.2463825
58.0470057,55.1717532
57.9679303,56.271902
58.1094702,56.3128367
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
58.0127922,56.2589786
58.009176,56.252602
,
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
58.0057062,56.1175266
57.9757573,56.2059545
57.9714811,56.2315024
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9714811,56.2315024
57.2824017,54.3217643
57.9867805,56.2463825
57.9923862,56.2573563
57.9858477,56.2172903
57.9880044,56.2247282
57.9867805,56.2463825
57.9714811,56.2315024
57.9757573,56.2059545
57.9751737,56.1669019
57.9624629,56.1594677
58.0127922,56.2589786
58.0113698,56.2543635
57.9757573,56.2059545
58.1094702,56.3128367
57.9735489,56.1920074
58.0272771,56.1930648
58.049706,56.0927347
58.0493088,56.1170125
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
,
57.9702632,56.1710739
58.0125523,56.2521274
57.9714811,56.2315024
58.0694669,56.3541384
,
58.0470057,55.1717532
57.9867805,56.2463825
58.0470057,55.1717532
57.9679303,56.271902
58.1094702,56.3128367
57.9690583,56.2707229
57.9679303,56.271902
57.9714811,56.2315024
58.0694669,56.3541384
58.0272771,56.1930648
57.9992378,56.1893299
58.0125523,56.2521274
58.0127922,56.2589786
58.009176,56.252602
,
57.9858477,56.2172903
57.9858477,56.2172903
57.9936032,56.192539
57.9867805,56.2463825
58.0125523,56.2521274
58.0057062,56.1175266
57.9757573,56.2059545
57.9714811,56.2315024
58.0040479,55.9402031
57.9714811,56.2315024
57.9757573,56.2059545
58.0113698,56.2543635
57.9714811,56.2315024
57.9771413,56.3076713
58.0040479,55.9402031
57.9714811,56.2315024
57.2824017,54.3217643
57.9867805,56.2463825
57.9923862,56.2573563
57.9858477,56.2172903
57.9880044,56.2247282
57.9867805,56.2463825
57.9714811,56.2315024
57.9757573,56.2059545
57.9751737,56.1669019
57.9624629,56.1594677
58.0127922,56.2589786
58.0113698,56.2543635
57.9757573,56.2059545
58.1094702,56.3128367
57.9735489,56.1920074
58.0272771,56.1930648
58.049706,56.0927347
58.0493088,56.1170125
58.0305766,56.3063196
58.0470057,55.1717532
58.0057062,56.1175266
57.9714811,56.2315024
